Team,Date,Score,Score adjusted,Score with region multiplier
Bilibili Gaming,2/6/2024 12:19,11.71523233,41.75804276,76250.18608
LNG Esports,2/6/2024 12:19,-3.360278166,26.68253226,48722.30391
Weibo Gaming,2/7/2024 12:41,-19.40865403,10.6341564,19417.96959
Top Esports,2/7/2024 12:41,29.81813919,59.86094962,109306.094
Top Esports,2/7/2024 13:30,0.649548041,30.69235847,56044.24657
Weibo Gaming,2/7/2024 13:30,4.594218024,34.63702845,63247.21396
Movistar R7,2/8/2024 0:54,-0.177628537,29.86518189,17411.40104
Movistar R7,2/8/2024 1:59,19.33867025,49.38148068,28789.40324
Fukuoka SoftBank HAWKS gaming,2/10/2024 12:27,44.32378502,74.36659545,64178.37187
Fukuoka SoftBank HAWKS gaming,2/10/2024 13:18,16.49905947,46.5418699,40165.63372
paiN Gaming,2/10/2024 17:14,29.60879782,59.65160825,37819.11963
MAD Lions KOI,2/10/2024 18:52,26.87363988,56.91645031,87765.16638
MAD Lions KOI,2/10/2024 19:34,28.22521158,58.26802201,89849.28994
100 Thieves,2/10/2024 22:53,15.82810581,45.87091624,68164.18153
Team Liquid,2/10/2024 22:53,1.743636529,31.78644696,47234.66018
FlyQuest,2/10/2024 23:44,-15.92020389,14.12260654,20986.19332
Fukuoka SoftBank HAWKS gaming,2/11/2024 8:14,23.39657484,53.43938527,46118.18949
Fukuoka SoftBank HAWKS gaming,2/11/2024 9:07,10.81391995,40.85673038,35259.35832
G2 Esports,2/11/2024 16:07,5.597316017,35.64012645,54957.07498
paiN Gaming,2/11/2024 16:13,40.43653484,70.47934527,44683.9049
G2 Esports,2/11/2024 17:01,14.71525645,44.75806688,69016.93913
G2 Esports,2/11/2024 17:50,28.60309483,58.64590526,90431.98591
100 Thieves,2/11/2024 21:07,6.942434342,36.98524477,54960.07373
Team Liquid,2/11/2024 22:56,23.02828809,53.07109852,78863.6524
FlyQuest,2/11/2024 23:41,13.35859171,43.40140214,64494.48358
MAD Lions KOI,2/12/2024 16:06,26.12157247,56.1643829,86605.47843
MAD Lions KOI,2/12/2024 16:51,10.71264385,40.75545428,62844.9105
Fnatic,2/12/2024 18:06,-10.680829,19.36198143,29856.17537
Fnatic,2/12/2024 19:07,7.901759202,37.94456963,58510.52637
Fnatic,2/12/2024 19:51,13.17266303,43.21547346,66638.26008
Gen.G,2/14/2024 8:05,-11.47467479,18.56813564,34778.11805
Gen.G,2/14/2024 8:59,-12.09802684,17.94478359,33610.57966
Movistar R7,2/14/2024 22:05,8.513369049,38.55617948,22478.25264
Movistar R7,2/14/2024 22:45,15.6687071,45.71151753,26649.81472
T1,2/15/2024 8:08,14.04068292,44.08349335,82568.38304
Dplus KIA,2/15/2024 8:08,-16.95759737,13.08521306,24508.60406
Dplus KIA,2/15/2024 8:55,-3.872420844,26.17038959,49017.13969
T1,2/15/2024 8:55,15.16911885,45.21192928,84681.94354
Hanwha Life Esports,2/15/2024 10:40,18.60662138,48.64943181,91120.38578
Hanwha Life Esports,2/15/2024 11:27,21.36093542,51.40374585,96279.21598
Movistar R7,2/15/2024 22:06,6.728114902,36.77092533,21437.44947
Movistar R7,2/15/2024 22:58,29.31690413,59.35971456,34606.71359
PSG Talon,2/16/2024 11:34,-18.08515803,11.9576524,10319.45402
PSG Talon,2/16/2024 12:26,-12.8005078,17.24230263,14880.10717
MAD Lions KOI,2/16/2024 16:07,13.70434226,43.74715269,67458.10945
Fnatic,2/16/2024 16:07,0.06933353,30.11214396,46432.92599
Fnatic,2/16/2024 16:57,20.17816563,50.22097606,77440.74508
MAD Lions KOI,2/16/2024 16:57,-17.43268599,12.61012444,19444.81189
MAD Lions KOI,2/16/2024 17:47,30.13178823,60.17459866,92789.23113
Fnatic,2/16/2024 17:47,-8.83989291,21.20291752,32694.89882
Fnatic,2/16/2024 18:42,22.84835611,52.89116654,81558.1788
MAD Lions KOI,2/16/2024 18:42,-8.981202742,21.06160769,32476.99905
MAD Lions KOI,2/16/2024 19:41,6.014986742,36.05779717,55601.12324
Fnatic,2/16/2024 19:41,-2.805929042,27.23688139,41999.2711
Gen.G,2/17/2024 6:07,17.20127238,47.24408281,88488.1671
Hanwha Life Esports,2/17/2024 6:07,-14.37498768,15.66782275,29345.83201
Hanwha Life Esports,2/17/2024 6:53,-10.14358936,19.89922107,37271.24106
Gen.G,2/17/2024 6:53,14.65591209,44.69872252,83720.70728
Dplus KIA,2/17/2024 8:46,22.785276,52.82808643,98947.00588
Dplus KIA,2/17/2024 9:36,20.16301774,50.20582817,94035.51616
GAM Esports,2/17/2024 10:06,24.42207718,54.46488761,45696.0407
Fukuoka SoftBank HAWKS gaming,2/17/2024 10:26,23.03683763,53.07964806,45807.73628
GAM Esports,2/17/2024 10:50,25.37678513,55.41959556,46497.04067
Fukuoka SoftBank HAWKS gaming,2/17/2024 11:29,23.0958378,53.13864823,45858.65342
MAD Lions KOI,2/17/2024 16:08,16.70651589,46.74932632,72087.46119
MAD Lions KOI,2/17/2024 16:57,18.00073139,48.04354182,74083.14149
MAD Lions KOI,2/17/2024 17:44,-3.628341737,26.41446869,40731.11072
MAD Lions KOI,2/17/2024 18:38,-0.510070319,29.53274011,45539.48525
paiN Gaming,2/17/2024 18:56,10.45466176,40.49747219,25675.39737
MAD Lions KOI,2/17/2024 19:28,12.91322178,42.95603221,66238.20167
T1,2/18/2024 6:05,16.33818318,46.38099361,86871.60103
T1,2/18/2024 6:57,19.80727025,49.85008068,93369.20111
Vikings Esports,2/18/2024 10:06,4.366962102,34.40977253,28869.79915
Fukuoka SoftBank HAWKS gaming,2/18/2024 10:12,18.57663058,48.61944101,41958.57759
Fukuoka SoftBank HAWKS gaming,2/18/2024 10:58,34.26927952,64.31208995,55501.33363
Vikings Esports,2/18/2024 10:59,15.41135887,45.4541693,38136.04804
PSG Talon,2/18/2024 12:29,-14.81621774,15.22659269,13140.54949
PSG Talon,2/18/2024 13:38,14.66012057,44.702931,38578.62945
PSG Talon,2/18/2024 14:31,2.378540697,32.42135113,27979.62602
G2 Esports,2/18/2024 16:12,-11.81293611,18.22987432,28110.4662
MAD Lions KOI,2/18/2024 16:12,30.79506254,60.83787297,93812.00012
G2 Esports,2/18/2024 17:02,35.35966546,65.40247589,100850.6178
MAD Lions KOI,2/18/2024 17:02,-23.64423236,6.39857807,9866.607384
MAD Lions KOI,2/18/2024 17:48,-18.11695655,11.92585388,18389.66668
