Team,Date,Result,Laner,Top score,Laner,Jng score,Laner,Mid score,Laner,Bot score,Laner,Sup score,Sum Score
Hanwha Life Esports,1/19/2024 8:09,1,Doran,1.467946517,Peanut,2.872489975,Zeka,0.623947892,Viper,-0.694992086,Delight,2.113729177,6.383121475
Hanwha Life Esports,1/19/2024 9:02,1,Doran,2.175799125,Peanut,3.394086305,Zeka,2.283681007,Viper,0.958455737,Delight,3.243942211,12.05596438
T1,1/19/2024 10:50,1,Zeus,1.821229503,Oner,5.35777419,Faker,6.76445318,Gumayusi,1.267126458,Keria,6.789495265,22.0000786
T1,1/19/2024 11:37,1,Zeus,5.861658863,Oner,2.384736647,Faker,1.205411552,Gumayusi,-1.686903925,Keria,4.09143128,11.85633442
Gen.G,1/20/2024 8:36,1,Kiin,7.073354434,Canyon,4.664657488,Chovy,3.986497572,Peyz,0.941272761,Lehends,5.498975144,22.1647574
Gen.G,1/20/2024 9:22,1,Kiin,2.077573478,Canyon,6.580878726,Chovy,4.230881035,Peyz,1.183274395,Lehends,6.148025305,20.22063294
Vikings Esports,1/20/2024 10:07,0,Kratos,1.875324645,Gury,-3.088383201,Kati,2.669882177,Shogun,0.076391537,Kairi,1.498625732,3.03184089
Fukuoka SoftBank HAWKS gaming,1/20/2024 10:56,0,Evi,2.608363716,Forest,-1.883755064,DasheR,1.680404761,Marble,2.384138149,Vsta,2.794907912,7.584059475
Vikings Esports,1/20/2024 11:12,0,Kratos,-2.429716911,Gury,-0.944130034,Kati,0.105980169,Shogun,-2.451342666,Kairi,-1.325397866,-7.044607308
Fukuoka SoftBank HAWKS gaming,1/20/2024 12:00,0,Evi,-2.331782176,Forest,-2.462501245,DasheR,-2.215107923,Marble,1.357948102,Vsta,0.361859264,-5.289583978
G2 Esports,1/20/2024 18:05,1,BrokenBlade,2.311101899,Yike,2.76928211,Caps,3.359598537,Hans Sama,-2.361066013,Mikyx,-0.344370941,5.734545592
MAD Lions KOI,1/20/2024 18:05,0,Myrwn,-5.190703478,Elyoya,-2.067222268,Fresskowy,0.437628364,Supa,-1.732813859,Alvaro,2.643291894,-5.909819347
Fnatic,1/20/2024 19:01,0,Oscarinin,-1.766542965,Razork,-3.91479085,Humanoid,-2.499125004,Noah,0.006765921,Jun,-2.706074083,-10.87976698
Team Liquid,1/20/2024 20:15,0,Impact,-1.403879099,UmTi,0.059211888,APA,-5.922116028,Yeon,0.517809032,CoreJJ,0.667963815,-6.081010393
100 Thieves,1/20/2024 20:15,1,Sniper,1.303034528,River,-0.295710143,Quid,4.257456061,Meech,3.338728784,Eyla,2.963774064,11.56728329
