league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LLA,1/26/2024 0:55,2,bot,Ceo,Movistar R7,Ashe,1886,1,5,1,11,16,0.666666667,1,0,0,707.1156,0.206819,567.7731,0.5408,0.3181,1.3043,0.239021,9.1941
LCK,1/26/2024 8:07,1,bot,Gumayusi,T1,Draven,2130,0,1,2,6,3.5,0.538461538,0,0,0,309.4085,0.19873,210.8732,0.4507,0.2254,1.0986,0.259388,8.338
LCK,1/26/2024 9:05,2,bot,Gumayusi,T1,Jinx,1271,1,9,1,5,14,0.608695652,0,0,0,908.4028,0.289556,431.4713,0.3777,0.4721,1.3218,0.28596,9.4886
LCK,1/26/2024 9:48,3,bot,Gumayusi,T1,Lucian,1751,1,4,0,6,10,0.625,0,0,0,505.2541,0.2342,329.6402,0.9252,0.4112,1.9874,0.232242,8.8407
LPL,1/26/2024 11:33,1,bot,Elk,Bilibili Gaming,Lucian,1915,1,6,1,7,13,0.565217391,0,1,,783.9164,0.34342,437.1697,1.0653,0.9086,2.8512,0.243831,9.3368
VCS,1/26/2024 11:57,1,bot,Shogun,Vikings Esports,Varus,2202,1,5,7,9,2,0.666666667,0,0,0,844.4142,0.282408,425.3951,1.2262,0.5177,2.3978,0.251039,8.7738
LPL,1/26/2024 12:25,2,bot,Elk,Bilibili Gaming,Senna,2244,1,3,0,7,10,0.714285714,0,,,628.6898,0.306684,519.2513,1.0428,0.9091,3.1551,0.206494,3.369
VCS,1/26/2024 12:53,2,bot,Shogun,Vikings Esports,Ziggs,2010,1,6,5,10,3.2,0.761904762,0,0,0,775.1045,0.244236,602.6866,0.6567,0.2687,1.1343,0.240038,8.9254
LCK,1/27/2024 6:08,1,bot,Peyz,Gen.G,Varus,2224,0,2,4,1,0.75,0.428571429,0,0,0,567.464,0.324734,301.6996,0.7824,0.4856,1.5647,0.265301,9.9011
LCK,1/27/2024 6:08,1,bot,Aiming,Dplus KIA,Xayah,2224,1,9,2,5,7,0.823529412,0,1,0,670.1439,0.362622,492.7068,0.4317,0.5396,1.3489,0.318547,12.3022
LCK,1/27/2024 7:09,2,bot,Peyz,Gen.G,Aphelios,2552,1,3,1,3,6,0.545454545,0,0,1,651.0188,0.280343,432.9781,1.1285,0.5878,2.7978,0.258268,9.5219
LCK,1/27/2024 7:09,2,bot,Aiming,Dplus KIA,Lucian,2552,0,1,2,5,3,0.75,0,1,0,583.2602,0.3077,583.7069,1.4342,0.5878,2.8213,0.24473,7.2179
LCK,1/27/2024 8:14,3,bot,Aiming,Dplus KIA,Varus,1773,0,1,1,2,3,0.75,0,0,0,333.9425,0.223967,263.5195,0.5753,0.3384,1.3875,0.258626,9.2386
LCK,1/27/2024 8:14,3,bot,Peyz,Gen.G,Lucian,1773,1,6,1,4,10,0.714285714,0,0,0,565.8883,0.273436,430.423,1.1844,0.9137,2.335,0.248758,9.3739
LJL,1/27/2024 8:16,1,bot,Marble,Fukuoka SoftBank HAWKS gaming,Lucian,1376,1,5,0,6,11,0.578947368,0,0,0,656.5988,0.228571,289.9273,1.1773,0.3488,2.4419,0.242472,9.5058
LJL,1/27/2024 9:05,2,bot,Marble,Fukuoka SoftBank HAWKS gaming,Varus,1748,1,11,3,5,5.333333333,0.761904762,0,1,0,807.5629,0.278011,521.2243,0.4119,0.5149,1.5446,0.303875,10.1945
PCS,1/27/2024 9:10,1,bot,Betty,PSG Talon,Aphelios,2047,0,3,2,1,2,0.8,1,0,0,448.3732,0.229416,463.3806,0.4397,0.381,1.1724,0.293112,10.3175
PCS,1/27/2024 10:10,2,bot,Betty,PSG Talon,Aphelios,1855,1,2,0,4,6,0.5,0,0,0,581.8221,0.280375,226.5768,0.8733,0.3881,2.1348,0.21143,9.4124
PCS,1/27/2024 11:11,3,bot,Betty,PSG Talon,Varus,2193,0,2,2,2,2,0.5,0,0,0,580.6566,0.301746,395.3488,0.301,0.5198,1.6142,0.287819,10.2052
LPL,1/27/2024 12:49,1,bot,JackeyLove,Top Esports,Senna,1730,1,4,2,11,7.5,0.75,0,1,,602.7052,0.227253,480.5896,0.8671,1.0058,3.2948,0.209091,5.3064
LPL,1/27/2024 13:38,2,bot,JackeyLove,Top Esports,Lucian,1707,1,6,1,2,8,0.421052632,0,,,546.7838,0.235398,471.1424,0.8084,0.3163,1.8278,0.219475,9.174
CBLOL,2/17/2024 18:56,1,bot,TitaN,paiN Gaming,Aphelios,1889,1,6,1,3,9,0.75,0,0,0,635.0344,0.276314,195.6591,0.4129,0.2541,1.1117,0.319912,9.9735
LEC,1/27/2024 18:04,1,bot,Supa,MAD Lions KOI,Xayah,2367,1,6,2,14,10,0.869565217,0,0,0,693.4094,0.254873,532.0152,0.3549,0.3549,1.4702,0.248896,9.2015
LEC,1/27/2024 18:04,1,bot,Noah,Fnatic,Aphelios,2367,0,4,5,9,2.6,0.764705882,0,0,0,436.0456,0.198757,409.1255,0.4056,0.583,1.5209,0.22236,8.5678
