league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LCK,1/27/2024 6:08,1,sup,Kellin,Dplus KIA,Rakan,2224,1,0,2,11,5.5,0.647058824,0,1,0,171.7176,0.0929184,371.4928,2.7518,0.8094,5.1529,0.0947689,1.241
LCK,1/27/2024 7:09,2,sup,Lehends,Gen.G,Lulu,2552,1,1,2,8,4.5,0.818181818,0,0,0,114.0047,0.0490929,338.7696,1.9749,0.3056,3.3621,0.11666,1.5517
LCK,1/27/2024 7:09,2,sup,Kellin,Dplus KIA,Nami,2552,0,0,2,8,4,1,0,1,0,205.9091,0.108628,385.4389,1.5047,0.3527,2.9859,0.124587,1.7868
LCK,1/27/2024 8:14,3,sup,Kellin,Dplus KIA,Ashe,1773,0,1,4,1,0.5,0.5,0,0,0,320.0677,0.214662,451.9459,2.3689,0.7445,5.0085,0.115103,1.3536
LCK,1/27/2024 8:14,3,sup,Lehends,Gen.G,Milio,1773,1,1,0,10,11,0.785714286,0,0,0,80.3046,0.038803,265.4484,2.2335,0.4738,3.4856,0.127003,2.132
LJL,1/27/2024 8:16,1,sup,Vsta,Fukuoka SoftBank HAWKS gaming,Nami,1376,1,0,1,13,13,0.684210526,0,0,0,268.7791,0.0935655,154.7529,1.2645,0.3052,2.7035,0.120449,2.2674
LJL,1/27/2024 9:05,2,sup,Vsta,Fukuoka SoftBank HAWKS gaming,Renata Glasc,1748,1,1,2,18,9.5,0.904761905,1,0,0,233.5126,0.080389,384.2677,2.2311,0.3089,3.7071,0.12501,0.9268
PCS,1/27/2024 9:10,1,sup,Woody,PSG Talon,Renata Glasc,2047,0,0,2,4,2,0.8,0,1,0,177.3327,0.0907346,507.2594,3.0777,0.7328,4.7484,0.102875,1.2018
PCS,1/27/2024 10:10,2,sup,Woody,PSG Talon,Milio,1855,1,0,1,8,8,0.666666667,0,0,0,73.1968,0.0352728,281.4987,1.4879,0.3235,2.6846,0.111904,1.6496
PCS,1/27/2024 11:11,3,sup,Woody,PSG Talon,Renata Glasc,2193,0,0,3,7,2.333333333,0.875,0,0,0,100.383,0.0521654,358.9877,2.1341,0.4651,3.8304,0.102536,1.1218
LPL,1/27/2024 12:49,1,sup,Meiko,Top Esports,Tahm Kench,1730,1,1,0,11,12,0.6,1,,,222.2428,0.0838041,705.4335,1.1792,0.2081,2.3584,0.147514,4.8555
LPL,1/27/2024 13:38,2,sup,Meiko,Top Esports,Nami,1707,1,0,0,14,14,0.736842105,0,,,212.8295,0.0916216,267.768,1.7223,0.3163,3.0228,0.127969,1.6872
CBLOL,1/27/2024 18:03,1,sup,Kuri,paiN Gaming,Milio,2024,1,0,0,13,13,1,0,0,0,111.5217,0.0469892,169.417,1.7787,0.3557,3.2016,0.0997521,0.83
LEC,1/27/2024 18:04,1,sup,Alvaro,MAD Lions KOI,Rakan,2367,1,2,4,19,5.25,0.913043478,0,0,0,166.0076,0.0610186,647.3764,2.0786,0.5577,3.853,0.127083,0.9886
LEC,1/27/2024 18:04,1,sup,Jun,Fnatic,Rell,2367,0,2,6,12,2.333333333,0.823529412,0,0,0,162.5349,0.0740861,584.6134,2.0025,0.4056,3.5234,0.102162,0.8365
LEC,1/27/2024 19:09,1,sup,Mikyx,G2 Esports,Neeko,1580,1,0,2,8,4,0.8,0,1,0,568.1392,0.238183,363.6076,1.2532,0.7215,3,0.102975,1.3291
LCS,1/27/2024 21:14,1,sup,Eyla,100 Thieves,Rakan,2321,0,1,4,8,2.25,0.6,0,0,0,136.6738,0.0651068,543.3089,1.9388,0.8272,4.2396,0.109949,1.4218
LCS,1/27/2024 22:29,1,sup,Busio,FlyQuest,Karma,2117,1,1,0,8,9,0.75,0,1,0,321.5966,0.121755,319.4143,1.9273,0.5385,3.4861,0.103374,1.1337
